source_id,source_sha256,source_sheet,source_row,source_cell_range,category,product,strength,size,total_mg,formulary_base_price,formulary_patient_pricing_plus_10,formulary_tier_1_minus_10,formulary_tier_2_minus_20,formulary_tier_3_minus_30,formulary_patient_price_formula,formulary_tier_1_formula,formulary_tier_2_formula,formulary_tier_3_formula,telehealth_sheet_row,telehealth_base_price,telehealth_tier_1_minus_30,telehealth_tier_2_minus_40,telehealth_tier_3_minus_50,telehealth_tier_1_formula,telehealth_tier_2_formula,telehealth_tier_3_formula
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,2,A2:J2,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,0.4ml,1mg,58.0,63.8,52.2,46.4,40.6,"IF(ISNUMBER(F2),F2*1.1,""Call for info"")","IF(ISNUMBER(F2),F2*0.9,""Call for info"")","IF(ISNUMBER(F2),F2*0.8,""Call for info"")","IF(ISNUMBER(F2),F2*0.7,""Call for info"")",11,58,40.6,34.8,29,"IF(ISNUMBER(E11),E11*(1-$B$6),""Call for info"")","IF(ISNUMBER(E11),E11*(1-$B$7),""Call for info"")","IF(ISNUMBER(E11),E11*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,3,A3:J3,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,1ml,2.5mg,72.0,79.2,64.8,57.6,50.4,"IF(ISNUMBER(F3),F3*1.1,""Call for info"")","IF(ISNUMBER(F3),F3*0.9,""Call for info"")","IF(ISNUMBER(F3),F3*0.8,""Call for info"")","IF(ISNUMBER(F3),F3*0.7,""Call for info"")",12,72,50.4,43.2,36,"IF(ISNUMBER(E12),E12*(1-$B$6),""Call for info"")","IF(ISNUMBER(E12),E12*(1-$B$7),""Call for info"")","IF(ISNUMBER(E12),E12*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,4,A4:J4,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,2ml,5mg,118.0,129.8,106.2,94.4,82.6,"IF(ISNUMBER(F4),F4*1.1,""Call for info"")","IF(ISNUMBER(F4),F4*0.9,""Call for info"")","IF(ISNUMBER(F4),F4*0.8,""Call for info"")","IF(ISNUMBER(F4),F4*0.7,""Call for info"")",13,118,82.6,70.8,59,"IF(ISNUMBER(E13),E13*(1-$B$6),""Call for info"")","IF(ISNUMBER(E13),E13*(1-$B$7),""Call for info"")","IF(ISNUMBER(E13),E13*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,5,A5:J5,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,4ml,10mg,160.0,176,144,128,112,"IF(ISNUMBER(F5),F5*1.1,""Call for info"")","IF(ISNUMBER(F5),F5*0.9,""Call for info"")","IF(ISNUMBER(F5),F5*0.8,""Call for info"")","IF(ISNUMBER(F5),F5*0.7,""Call for info"")",14,160,112,96,80,"IF(ISNUMBER(E14),E14*(1-$B$6),""Call for info"")","IF(ISNUMBER(E14),E14*(1-$B$7),""Call for info"")","IF(ISNUMBER(E14),E14*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,6,A6:J6,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,1ml,17mg,140.0,154,126,112,98,"IF(ISNUMBER(F6),F6*1.1,""Call for info"")","IF(ISNUMBER(F6),F6*0.9,""Call for info"")","IF(ISNUMBER(F6),F6*0.8,""Call for info"")","IF(ISNUMBER(F6),F6*0.7,""Call for info"")",15,140,98,84,70,"IF(ISNUMBER(E15),E15*(1-$B$6),""Call for info"")","IF(ISNUMBER(E15),E15*(1-$B$7),""Call for info"")","IF(ISNUMBER(E15),E15*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,7,A7:J7,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,2ml,34mg,201.0,221.1,180.9,160.8,140.7,"IF(ISNUMBER(F7),F7*1.1,""Call for info"")","IF(ISNUMBER(F7),F7*0.9,""Call for info"")","IF(ISNUMBER(F7),F7*0.8,""Call for info"")","IF(ISNUMBER(F7),F7*0.7,""Call for info"")",16,201,140.7,120.6,100.5,"IF(ISNUMBER(E16),E16*(1-$B$6),""Call for info"")","IF(ISNUMBER(E16),E16*(1-$B$7),""Call for info"")","IF(ISNUMBER(E16),E16*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,8,A8:J8,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,3ml,51mg,228.0,250.8,205.2,182.4,159.6,"IF(ISNUMBER(F8),F8*1.1,""Call for info"")","IF(ISNUMBER(F8),F8*0.9,""Call for info"")","IF(ISNUMBER(F8),F8*0.8,""Call for info"")","IF(ISNUMBER(F8),F8*0.7,""Call for info"")",17,228,159.6,136.8,114,"IF(ISNUMBER(E17),E17*(1-$B$6),""Call for info"")","IF(ISNUMBER(E17),E17*(1-$B$7),""Call for info"")","IF(ISNUMBER(E17),E17*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,9,A9:J9,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,4ml,68mg,305.0,335.5,274.5,244,213.5,"IF(ISNUMBER(F9),F9*1.1,""Call for info"")","IF(ISNUMBER(F9),F9*0.9,""Call for info"")","IF(ISNUMBER(F9),F9*0.8,""Call for info"")","IF(ISNUMBER(F9),F9*0.7,""Call for info"")",18,305,213.5,183,152.5,"IF(ISNUMBER(E18),E18*(1-$B$6),""Call for info"")","IF(ISNUMBER(E18),E18*(1-$B$7),""Call for info"")","IF(ISNUMBER(E18),E18*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,10,A10:J10,Weight Management - Oral,Bupropion/Naltrexone MR,65mg/8mg,Each,-,1.1,1.21,0.99,0.88,0.77,"IF(ISNUMBER(F10),F10*1.1,""Call for info"")","IF(ISNUMBER(F10),F10*0.9,""Call for info"")","IF(ISNUMBER(F10),F10*0.8,""Call for info"")","IF(ISNUMBER(F10),F10*0.7,""Call for info"")",19,1.1,0.77,0.66,0.55,"IF(ISNUMBER(E19),E19*(1-$B$6),""Call for info"")","IF(ISNUMBER(E19),E19*(1-$B$7),""Call for info"")","IF(ISNUMBER(E19),E19*(1-$B$8),""Call for info"")"
SRC-003,f17b923ba37e1b62a9d7c19be4ff29799a05189d36e59874f78b08d8998d5d0c,Formulary Pricing,11,A11:J11,Weight Management - Oral,Bupropion/Naltrexone MR Capsules,90mg/6mg,Each,-,1.3,1.43,1.17,1.04,0.91,"IF(ISNUMBER(F11),F11*1.1,""Call for info"")","IF(ISNUMBER(F11),F11*0.9,""Call for info"")","IF(ISNUMBER(F11),F11*0.8,""Call for info"")","IF(ISNUMBER(F11),F11*0.7,""Call for info"")",20,1.3,0.91,0.78,0.65,"IF(ISNUMBER(E20),E20*(1-$B$6),""Call for info"")","IF(ISNUMBER(E20),E20*(1-$B$7),""Call for info"")","IF(ISNUMBER(E20),E20*(1-$B$8),""Call for info"")"
