source_reference,source_category,source_product,source_strength,source_size,item_class,canonical_medication_id,patient_facing_medication_concept,clinical_medication_concept,formulation_id,pharmacy_configuration_id,normalization_status,notes
SRC-003:Formulary Pricing!A2:J2,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,0.4ml,medication,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,CFG-EP-0001,NORMALIZED,""
SRC-003:Formulary Pricing!A3:J3,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,1ml,medication,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,CFG-EP-0002,NORMALIZED,""
SRC-003:Formulary Pricing!A4:J4,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,2ml,medication,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,CFG-EP-0003,NORMALIZED,""
SRC-003:Formulary Pricing!A5:J5,Weight Management - Injection,Semaglutide/Glycine,2.5mg/5mg/ml,4ml,medication,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,CFG-EP-0004,NORMALIZED,""
SRC-003:Formulary Pricing!A6:J6,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,1ml,medication,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,CFG-EP-0005,NORMALIZED,""
SRC-003:Formulary Pricing!A7:J7,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,2ml,medication,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,CFG-EP-0006,NORMALIZED,""
SRC-003:Formulary Pricing!A8:J8,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,3ml,medication,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,CFG-EP-0007,NORMALIZED,""
SRC-003:Formulary Pricing!A9:J9,Weight Management - Injection,Tirzepatide/Glycine,17mg/5mg/ml,4ml,medication,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,CFG-EP-0008,NORMALIZED,""
SRC-003:Formulary Pricing!A10:J10,Weight Management - Oral,Bupropion/Naltrexone MR,65mg/8mg,Each,medication,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-003,CFG-EP-0009,NORMALIZED,""
SRC-003:Formulary Pricing!A11:J11,Weight Management - Oral,Bupropion/Naltrexone MR Capsules,90mg/6mg,Each,medication,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-004,CFG-EP-0010,NORMALIZED,""
SRC-003:Formulary Pricing!A12:J12,Weight Management - Oral,Bupropion/Naltrexone MR Capsules,90mg/12mg,Each,medication,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-004,CFG-EP-0011,NORMALIZED,""
SRC-003:Formulary Pricing!A13:J13,Weight Management - Oral,Bupropion/Naltrexone MR Capsules,180mg/12mg,Each,medication,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-004,CFG-EP-0012,NORMALIZED,""
SRC-003:Formulary Pricing!A14:J14,Weight Management - Oral,Naltrexone Low Dose Capsules,"1mg, 1.5mg, 3mg, 4.5mg",Each,medication,MED-004,Low-dose Naltrexone,Naltrexone,FRM-005,CFG-EP-0013,NORMALIZED,""
SRC-003:Formulary Pricing!A15:J15,Weight Management - Oral,Semaglutide Susp,4mg/ml,10ml,medication,MED-001,Semaglutide,Semaglutide,FRM-006,CFG-EP-0014,NORMALIZED,""
SRC-003:Formulary Pricing!A16:J16,Weight Management - Oral,Semaglutide Susp,4mg/ml,15ml,medication,MED-001,Semaglutide,Semaglutide,FRM-006,CFG-EP-0015,NORMALIZED,""
SRC-003:Formulary Pricing!A17:J17,Weight Management - Oral,Semaglutide Susp,8mg/ml,10ml,medication,MED-001,Semaglutide,Semaglutide,FRM-006,CFG-EP-0016,NORMALIZED,""
SRC-003:Formulary Pricing!A18:J18,Weight Management - Oral,Semaglutide Susp,8mg/ml,15ml,medication,MED-001,Semaglutide,Semaglutide,FRM-006,CFG-EP-0017,NORMALIZED,""
SRC-003:Formulary Pricing!A19:J19,Weight Management - Oral,Semaglutide Troche,0.5mg,30,medication,MED-001,Semaglutide,Semaglutide,FRM-007,CFG-EP-0018,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A20:J20,Weight Management - Oral,Semaglutide Troche,1mg,30,medication,MED-001,Semaglutide,Semaglutide,FRM-007,CFG-EP-0019,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A21:J21,Weight Management - Oral,Semaglutide Troche,2mg,30,medication,MED-001,Semaglutide,Semaglutide,FRM-007,CFG-EP-0020,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A22:J22,Weight Management - Oral,Semaglutide Troche,3mg,30,medication,MED-001,Semaglutide,Semaglutide,FRM-007,CFG-EP-0021,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A23:J23,Weight Management - Oral,Semaglutide Troche,4mg,30,medication,MED-001,Semaglutide,Semaglutide,FRM-007,CFG-EP-0022,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A24:J24,Weight Management - Oral,Semaglutide Troche,6mg,30,medication,MED-001,Semaglutide,Semaglutide,FRM-007,CFG-EP-0023,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A25:J25,Weight Management - Oral,Semaglutide Troche,8mg,30,medication,MED-001,Semaglutide,Semaglutide,FRM-007,CFG-EP-0024,NORMALIZED,Contains explicit unresolved pharmacy detail
