canonical_medication_id,patient_facing_medication_concept,catalog_kind,source_categories,clinical_documentation_status,clinical_sources,membership_program_mapping,marketplace_visibility,authority_status
MED-001,Semaglutide,medication,Weight Management - Injection; Weight Management - Oral,DOCUMENTED — OPEN — CLINICAL: formulation mapping,"SRC-007, SRC-010, SRC-012, SRC-015, SRC-019, SRC-020",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-002,Tirzepatide,medication,Weight Management - Injection,DOCUMENTED — OPEN — CLINICAL: formulation mapping,"SRC-007, SRC-010, SRC-012, SRC-015, SRC-019, SRC-020",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-003,Bupropion / Naltrexone,combination medication,Weight Management - Oral,DOCUMENTED,"SRC-012, SRC-016",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-004,Low-dose Naltrexone,medication,Weight Management - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-005,Bi-mix,compounded medication,Women's & Men's Health - Injection; Sexual Health - Injection,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-006,Progesterone,medication,Women's & Men's Health - Injection; Women's & Men's Health - Suppository; Women's & Men's Health - Oral,DOCUMENTED — OPEN — CLINICAL: formulation coverage,"SRC-005, SRC-006, SRC-012, SRC-018",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-007,Testosterone,medication,Women's & Men's Health - Injection,DOCUMENTED — OPEN — CLINICAL: availability conflict,"SRC-005, SRC-006, SRC-012, SRC-018",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-008,Testosterone / Anastrozole,combination medication,Women's & Men's Health - Injection,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-009,Tri-mix,compounded medication,Women's & Men's Health - Injection; Sexual Health - Injection,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-010,Custom Hormone Cream,compounded medication family,Women's & Men's Health - Topical,DOCUMENTED — OPEN — CLINICAL: composition and route coverage,"SRC-005, SRC-012, SRC-018",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-011,Boric Acid,medication,Women's & Men's Health - Suppository,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-012,Sildenafil,medication,Women's & Men's Health - Suppository; Women's & Men's Health - Oral; Sexual Health - Nasal & Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-013,Anastrozole,medication,Women's & Men's Health - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-014,Anastrozole / Clomiphene,combination medication,Women's & Men's Health - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-015,Clomiphene,medication,Women's & Men's Health - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-016,DHEA,medication,Women's & Men's Health - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-017,Enclomiphene,medication,Women's & Men's Health - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
