pharmacy_configuration_id,canonical_medication_id,patient_facing_medication_concept,clinical_medication_concept,formulation_id,formulation,route_of_administration,dosage_form,strength_or_concentration,package_size,total_mg,additive_or_base,days_supply_when_supported,pharmacy,pharmacy_sku_or_source_reference,source_categories,formulary_base_price,formulary_patient_pricing_plus_10,formulary_tier_1_minus_10,formulary_tier_2_minus_20,formulary_tier_3_minus_30,telehealth_tier_1_minus_30,telehealth_tier_2_minus_40,telehealth_tier_3_minus_50,native_sku_status
CFG-EP-0001,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,injectable solution with glycine,injection,solution,2.5mg/5mg/ml,0.4ml,1mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A2:J2,Weight Management - Injection,58.0,63.8,52.2,46.4,40.6,40.6,34.8,29,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0002,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,injectable solution with glycine,injection,solution,2.5mg/5mg/ml,1ml,2.5mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A3:J3,Weight Management - Injection,72.0,79.2,64.8,57.6,50.4,50.4,43.2,36,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0003,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,injectable solution with glycine,injection,solution,2.5mg/5mg/ml,2ml,5mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A4:J4,Weight Management - Injection,118.0,129.8,106.2,94.4,82.6,82.6,70.8,59,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0004,MED-001,Semaglutide,Semaglutide + glycine,FRM-001,injectable solution with glycine,injection,solution,2.5mg/5mg/ml,4ml,10mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A5:J5,Weight Management - Injection,160.0,176,144,128,112,112,96,80,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0005,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,injectable solution with glycine,injection,solution,17mg/5mg/ml,1ml,17mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A6:J6,Weight Management - Injection,140.0,154,126,112,98,98,84,70,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0006,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,injectable solution with glycine,injection,solution,17mg/5mg/ml,2ml,34mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A7:J7,Weight Management - Injection,201.0,221.1,180.9,160.8,140.7,140.7,120.6,100.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0007,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,injectable solution with glycine,injection,solution,17mg/5mg/ml,3ml,51mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A8:J8,Weight Management - Injection,228.0,250.8,205.2,182.4,159.6,159.6,136.8,114,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0008,MED-002,Tirzepatide,Tirzepatide + glycine,FRM-002,injectable solution with glycine,injection,solution,17mg/5mg/ml,4ml,68mg,glycine,"",Eden Pharmacy,SRC-003:Formulary Pricing!A9:J9,Weight Management - Injection,305.0,335.5,274.5,244,213.5,213.5,183,152.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0009,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-003,"oral modified-release dosage form, type unspecified",oral,modified-release dosage form,65mg/8mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A10:J10,Weight Management - Oral,1.1,1.21,0.99,0.88,0.77,0.77,0.66,0.55,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0010,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-004,oral modified-release capsule,oral,modified-release capsule,90mg/6mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A11:J11,Weight Management - Oral,1.3,1.43,1.17,1.04,0.91,0.91,0.78,0.65,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0011,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-004,oral modified-release capsule,oral,modified-release capsule,90mg/12mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A12:J12,Weight Management - Oral,1.4,1.54,1.26,1.12,0.98,0.98,0.84,0.7,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0012,MED-003,Bupropion / Naltrexone,Bupropion + naltrexone,FRM-004,oral modified-release capsule,oral,modified-release capsule,180mg/12mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A13:J13,Weight Management - Oral,1.5,1.65,1.35,1.2,1.05,1.05,0.9,0.75,No native SKU supplied; canonical configuration references exact source row(s)
